L,H,Regime,Model,RMSE,MAE,Directional_Accuracy,N_Windows,N_Val_Total
10,1,high_vol,AR Linear,0.021204877882154305,0.015273048091694849,0.5206620653909824,5,984
10,1,high_vol,ARCH,0.021096209825030833,0.015183718853710842,0.5039721283710762,5,984
10,1,high_vol,ARIMA,0.02367646753988411,0.01717013256426036,0.4905061711427475,5,984
10,1,high_vol,Diffusion,0.021145728312913937,0.015257666507951018,0.5011919737504759,5,984
10,1,high_vol,GARCH,0.02268772001827647,0.016381665508352662,0.5039721283710762,5,984
10,1,high_vol,Historical Mean,0.02201658699458748,0.016010945380224635,0.5128180238830804,5,984
10,1,high_vol,MLP,0.12315579592235379,0.08223238644517832,0.5027543259532847,5,984
10,1,high_vol,Random Forest,0.02118949782576303,0.015159321181605925,0.5190450010827485,5,984
10,1,high_vol,Random Walk,0.021076769664976125,0.015164452160238883,0.5,5,984
10,1,high_vol,Ridge,0.021560240511809953,0.015574716961461964,0.509061051959025,5,984
10,1,high_vol,VAR,0.021121739609391357,0.015202211785590869,0.5139435337306203,5,984
10,1,low_vol,AR Linear,0.015446585645933103,0.011714906046006338,0.4904361866203971,5,366
10,1,low_vol,ARCH,0.015382542798960707,0.011648158304318297,0.49391808849045693,5,366
10,1,low_vol,ARIMA,0.01679660176045658,0.012752458288620686,0.49395628494312704,5,366
10,1,low_vol,Diffusion,0.015318990828925816,0.011612512076790945,0.4957846539425487,5,366
10,1,low_vol,GARCH,0.01638189581737225,0.012409563056395609,0.49391808849045693,5,366
10,1,low_vol,Historical Mean,0.016022794114976514,0.012295145696338102,0.4814476094081357,5,366
10,1,low_vol,MLP,0.07076539128914063,0.05154938972055891,0.4950696452670137,5,366
10,1,low_vol,Random Forest,0.015330196975114022,0.011575225655490263,0.5208747831116252,5,366
10,1,low_vol,Random Walk,0.015322345272627325,0.011577847653857266,0.5,5,366
10,1,low_vol,Ridge,0.015436208060658185,0.011662968934085057,0.526028291883555,5,366
10,1,low_vol,VAR,0.01549693149222307,0.01174709298726912,0.4923604684788895,5,366
10,5,high_vol,AR Linear,0.048397815481592374,0.036017858181165416,0.5126487365018597,5,988
10,5,high_vol,ARCH,0.048238008850140845,0.03601466498079357,0.488617243069046,5,988
10,5,high_vol,ARIMA,0.04939879168568953,0.036828535024768315,0.5121037000103572,5,988
10,5,high_vol,Diffusion,0.04955517029166562,0.03686580958550143,0.4868556062911186,5,988
10,5,high_vol,GARCH,0.048597651377053894,0.036457367645540154,0.488617243069046,5,988
10,5,high_vol,Historical Mean,0.04830426183449553,0.035884556547109446,0.5303381854379654,5,988
10,5,high_vol,MLP,0.12306129549916171,0.08961995974291118,0.48645446382784696,5,988
10,5,high_vol,Random Forest,0.04863773359748318,0.03618350826881253,0.5249992322827435,5,988
10,5,high_vol,Random Walk,0.04834756933697597,0.03600612657053305,0.5,5,988
10,5,high_vol,Ridge,0.049060471111164766,0.036442612748989175,0.5272052293347093,5,988
