Horizon,Model,Mean_RMSE,MCS_Status,DM_Pvalue
H=1,AR Linear,0.020209867167652242,Excluded,0.047127416977790514
H=1,ARCH,0.020100167812592242,Excluded,0.6349840595132663
H=1,ARIMA,0.02234193906144105,Excluded,0.0
H=1,Diffusion,0.0201813817595597,Excluded,0.007234518621062429
H=1,GARCH,0.021569334578590556,Excluded,3.8462647881469064e-10
H=1,Historical Mean,0.02060803895414737,Excluded,0.009808230040319424
H=1,MLP,0.2016924239236163,Excluded,0.0
H=1,Random Forest,0.0201717118348674,Excluded,0.024405098575640993
H=1,Random Walk,0.020070762277137725,In MCS,1.0
H=1,Ridge,0.02094809023678915,Excluded,9.872571545092393e-06
H=1,VAR,0.020145096344136016,Excluded,0.31924109314451776
H=5,AR Linear,0.0463863220596508,Excluded,0.546984003591716
H=5,ARCH,0.04623772903528306,In MCS,0.1393913242081065
H=5,ARIMA,0.047238424387595006,Excluded,9.842367389708191e-05
H=5,Diffusion,0.0468788180205185,Excluded,0.1545986335433233
H=5,GARCH,0.04662189293479791,Excluded,0.45170535210759777
H=5,Historical Mean,0.04643632151309124,Excluded,0.8000070027986975
H=5,MLP,0.20353746579627433,Excluded,3.790678141749974e-10
H=5,Random Forest,0.04665451671162946,Excluded,0.29958913009346194
H=5,Random Walk,0.04631754606818885,Excluded,1.0
H=5,Ridge,0.0483340199489957,Excluded,0.05966478602527081
H=5,VAR,0.046265725123207646,Excluded,0.41303016397330916
