L,H,window_id,model,ticker,val_origin_start,val_origin_end,RMSE,MAE,Directional_Accuracy
10,1,0,Random Walk,ECH,2019-12-18,2021-01-13,0.02617821948945992,0.01742222358331161,0.003703703703703704
10,1,0,Random Walk,EWW,2019-12-18,2021-01-13,0.027376036126857413,0.01873965758787858,0.003703703703703704
10,1,0,Random Walk,EWZ,2019-12-18,2021-01-13,0.03968546591393785,0.025276136921904824,0.003703703703703704
10,1,0,Random Walk,GXG,2019-12-18,2021-01-13,0.02984329268731588,0.017404512042782386,0.018518518518518517
10,1,0,Historical Mean,ECH,2019-12-18,2021-01-13,0.02760212616955651,0.01871693813927761,0.4962962962962963
10,1,0,Historical Mean,EWW,2019-12-18,2021-01-13,0.028181956424609918,0.019721306879381912,0.4888888888888889
10,1,0,Historical Mean,EWZ,2019-12-18,2021-01-13,0.04109888467772337,0.026407831578496712,0.5074074074074074
10,1,0,Historical Mean,GXG,2019-12-18,2021-01-13,0.030772332678666213,0.01804552963807365,0.5407407407407407
10,1,0,AR Linear,ECH,2019-12-18,2021-01-13,0.027042713848838416,0.017926692724391957,0.4740740740740741
10,1,0,AR Linear,EWW,2019-12-18,2021-01-13,0.028195388269452372,0.019074766946370385,0.4888888888888889
10,1,0,AR Linear,EWZ,2019-12-18,2021-01-13,0.03934600406763088,0.02518276542872569,0.5370370370370371
10,1,0,AR Linear,GXG,2019-12-18,2021-01-13,0.029562111490168595,0.017635415862696423,0.5185185185185185
10,1,0,ARIMA,ECH,2019-12-18,2021-01-13,0.02664688622561397,0.01764814009232144,0.5111111111111111
10,1,0,ARIMA,EWW,2019-12-18,2021-01-13,0.029887754861278516,0.020327032784277083,0.5037037037037037
10,1,0,ARIMA,EWZ,2019-12-18,2021-01-13,0.04073824662755708,0.026012145483233523,0.4777777777777778
10,1,0,ARIMA,GXG,2019-12-18,2021-01-13,0.02989805662378181,0.01739263063850981,0.5185185185185185
10,1,0,ARCH,ECH,2019-12-18,2021-01-13,0.026781691910618285,0.01785134589548022,0.4962962962962963
10,1,0,ARCH,EWW,2019-12-18,2021-01-13,0.02775160348836801,0.018871996467148003,0.4740740740740741
10,1,0,ARCH,EWZ,2019-12-18,2021-01-13,0.039214165588426,0.02501668216833453,0.5481481481481482
10,1,0,ARCH,GXG,2019-12-18,2021-01-13,0.029551275153732924,0.017525374458764512,0.4962962962962963
10,1,0,GARCH,ECH,2019-12-18,2021-01-13,0.030211997595781307,0.019798698214269037,0.4962962962962963
10,1,0,GARCH,EWW,2019-12-18,2021-01-13,0.02974381844424995,0.019953047475857418,0.4740740740740741
10,1,0,GARCH,EWZ,2019-12-18,2021-01-13,0.03812325995752287,0.02438684809751679,0.5481481481481482
10,1,0,GARCH,GXG,2019-12-18,2021-01-13,0.03234984802314193,0.019847857877099386,0.4962962962962963
