L,H,Asset,Model,RMSE,MAE,Directional_Accuracy,N_Windows,MCS_Status
10,1,ECH,AR Linear,0.020941394834892945,0.015332770164554001,0.47777777777777775,5,Excluded
10,1,ECH,ARCH,0.02078767486051316,0.01519706328986315,0.45555555555555555,5,Excluded
10,1,ECH,ARIMA,0.023040702642225477,0.0167870820224242,0.5,5,Excluded
10,1,ECH,Diffusion,0.02075679512672674,0.015170112733983046,0.5022222222222222,5,Excluded
10,1,ECH,GARCH,0.021543435379414014,0.015685574018781036,0.45555555555555555,5,Excluded
10,1,ECH,Historical Mean,0.021732863445686222,0.016012187300846123,0.49407407407407405,5,Excluded
10,1,ECH,MLP,0.10401248873464664,0.07071457239299159,0.5037037037037038,5,Excluded
10,1,ECH,Random Forest,0.0207086763679314,0.015062739577080111,0.5244444444444445,5,Excluded
10,1,ECH,Random Walk,0.020654108657616747,0.015085455839192527,0.5,5,In MCS
10,1,ECH,Ridge,0.02088120435249071,0.015378123008553393,0.5125925925925926,5,Excluded
10,1,ECH,VAR,0.020887528088371986,0.01523864362949924,0.4822222222222222,5,Excluded
10,1,EWW,AR Linear,0.016542806011027356,0.0123492179655469,0.5059259259259259,5,Excluded
10,1,EWW,ARCH,0.016399501513680532,0.012300488050804501,0.47333333333333333,5,Excluded
10,1,EWW,ARIMA,0.020605775906513545,0.01569385964710942,0.48592592592592593,5,Excluded
10,1,EWW,Diffusion,0.016410863559469094,0.0124082363256896,0.48962962962962964,5,Excluded
10,1,EWW,GARCH,0.016905374184736543,0.012609080077934562,0.47333333333333333,5,Excluded
10,1,EWW,Historical Mean,0.017068218680228963,0.012979684014610712,0.4925925925925926,5,Excluded
10,1,EWW,MLP,0.11022155497128869,0.07587785927401909,0.5051851851851852,5,Excluded
10,1,EWW,Random Forest,0.016391150640405715,0.012275015998271301,0.5051851851851852,5,Excluded
10,1,EWW,Random Walk,0.01630516044970709,0.012251674569827009,0.5,5,In MCS
10,1,EWW,Ridge,0.016660901218367694,0.01251880037686382,0.517037037037037,5,Excluded
10,1,EWW,VAR,0.016448890363641954,0.012360684763211208,0.4822222222222222,5,Excluded
10,1,EWZ,AR Linear,0.02394166317440894,0.01754091021837306,0.5059259259259259,5,Excluded
10,1,EWZ,ARCH,0.023804817751736727,0.017419146847065463,0.5259259259259259,5,Excluded
10,1,EWZ,ARIMA,0.02523996192317194,0.018658284809905123,0.4822222222222222,5,Excluded
10,1,EWZ,Diffusion,0.023750820374635145,0.017431958515043665,0.5007407407407407,5,Excluded
10,1,EWZ,GARCH,0.02646245693491084,0.019622183290494904,0.5259259259259259,5,Excluded
10,1,EWZ,Historical Mean,0.02477379463714244,0.018347603620953307,0.4955555555555556,5,Excluded
10,1,EWZ,MLP,0.0906196439377002,0.0619314077264577,0.49703703703703705,5,Excluded
10,1,EWZ,Random Forest,0.02391056769766304,0.017391951901870033,0.5103703703703704,5,Excluded
10,1,EWZ,Random Walk,0.023696096677398595,0.017346917372625753,0.5,5,In MCS
10,1,EWZ,Ridge,0.02457656963150347,0.017948960102374383,0.4992592592592593,5,Excluded
10,1,EWZ,VAR,0.023750831768837005,0.017413663739622526,0.5088888888888888,5,Excluded
10,1,GXG,AR Linear,0.01813701561888339,0.012713999833353463,0.5548148148148149,5,Excluded
10,1,GXG,ARCH,0.018163797018850708,0.01266367769355076,0.557037037037037,5,Excluded
10,1,GXG,ARIMA,0.0195864862751503,0.013418890905831996,0.49481481481481476,5,Excluded
10,1,GXG,Diffusion,0.018351777476161686,0.012763974857748467,0.5051851851851852,5,Excluded
10,1,GXG,GARCH,0.019830570652683444,0.014020066634116198,0.557037037037037,5,Excluded
10,1,GXG,Historical Mean,0.01903872079666764,0.013389817426367212,0.5303703703703704,5,Excluded
10,1,GXG,MLP,0.1429991434552686,0.09279573093565414,0.4962962962962963,5,Excluded
10,1,GXG,Random Forest,0.018379294055207513,0.012697337412303684,0.537037037037037,5,Excluded
10,1,GXG,Random Walk,0.018372426297481415,0.012755533771751898,0.5,5,In MCS
10,1,GXG,Ridge,0.018536068462443146,0.012982374996800466,0.5355555555555556,5,Excluded
10,1,GXG,VAR,0.01825539191650604,0.01271039287733439,0.5659259259259259,5,Excluded
10,5,ECH,AR Linear,0.045614603498696414,0.035459939026872334,0.47851851851851845,5,Excluded
10,5,ECH,ARCH,0.04537299643042801,0.0352985416484573,0.4659259259259259,5,In MCS
10,5,ECH,ARIMA,0.046491008097100626,0.0360483166626309,0.5133333333333333,5,Excluded
10,5,ECH,Diffusion,0.04622351748758895,0.03575812447945607,0.49037037037037035,5,Excluded
10,5,ECH,GARCH,0.0454333999398326,0.0354747233860877,0.4659259259259259,5,Excluded
10,5,ECH,Historical Mean,0.04573015871787723,0.03556200368333614,0.49111111111111105,5,Excluded
10,5,ECH,MLP,0.13146703086393635,0.09337283008976309,0.5,5,Excluded
10,5,ECH,Random Forest,0.045716567670388696,0.03542394145669376,0.5214814814814815,5,Excluded
10,5,ECH,Random Walk,0.045411671867874336,0.03527119527332197,0.5,5,Excluded
10,5,ECH,Ridge,0.045725395015898465,0.035470885154061604,0.5207407407407407,5,Excluded
10,5,ECH,VAR,0.045401079586609716,0.03535715061153795,0.4829629629629629,5,Excluded
10,5,EWW,AR Linear,0.037369233445812625,0.02825052012557913,0.5088888888888888,5,Excluded
10,5,EWW,ARCH,0.036999841832818424,0.028174346440448424,0.47703703703703704,5,In MCS
10,5,EWW,ARIMA,0.03884507487093638,0.029720940820822172,0.49333333333333335,5,Excluded
10,5,EWW,Diffusion,0.03830892263336514,0.029092700601792365,0.5096296296296297,5,Excluded
10,5,EWW,GARCH,0.037113196549534815,0.02830607760842979,0.47703703703703704,5,Excluded
10,5,EWW,Historical Mean,0.03702035901488088,0.028369255248262188,0.47703703703703704,5,Excluded
10,5,EWW,MLP,0.11264855626140687,0.08036138318058655,0.5022222222222222,5,Excluded
10,5,EWW,Random Forest,0.03695698827306347,0.028017221025418336,0.5474074074074073,5,Excluded
10,5,EWW,Random Walk,0.03699837545835233,0.02814924735367342,0.5,5,Excluded
10,5,EWW,Ridge,0.03713146207165653,0.02807842407118134,0.5607407407407408,5,Excluded
10,5,EWW,VAR,0.03706026764833587,0.02823841851537342,0.4866666666666667,5,Excluded
10,5,EWZ,AR Linear,0.05118423334073265,0.03850754984084935,0.4881481481481481,5,Excluded
10,5,EWZ,ARCH,0.0510150738496498,0.03857166097224523,0.4874074074074074,5,In MCS
10,5,EWZ,ARIMA,0.05132726386421806,0.03865093401935408,0.5162962962962963,5,Excluded
10,5,EWZ,Diffusion,0.051947803037432884,0.0390727031461307,0.4622222222222222,5,Excluded
10,5,EWZ,GARCH,0.052421229939581905,0.03986736360988182,0.4874074074074074,5,Excluded
10,5,EWZ,Historical Mean,0.05094272286762956,0.03822422131107723,0.5133333333333333,5,Excluded
10,5,EWZ,MLP,0.1117090815103983,0.08272295287838223,0.47703703703703704,5,Excluded
10,5,EWZ,Random Forest,0.05109425624435415,0.038517665904655565,0.5155555555555555,5,Excluded
10,5,EWZ,Random Walk,0.05093023538565762,0.0383662586233167,0.5,5,Excluded
10,5,EWZ,Ridge,0.05210006164162512,0.03886211595371139,0.5088888888888888,5,Excluded
10,5,EWZ,VAR,0.05101257072577201,0.038541458904874884,0.4807407407407408,5,Excluded
