L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
10,1,0,Random Walk,2019-12-18,2021-01-13,1239,270,0.031226210356383573,0.01971063253396935,0.007407407407407408
10,1,0,Historical Mean,2019-12-18,2021-01-13,1239,270,0.03237342589701482,0.020722901558807478,0.5083333333333333
10,1,0,AR Linear,2019-12-18,2021-01-13,1239,270,0.03141780850020619,0.01995491024054611,0.5046296296296297
10,1,0,Ridge,2019-12-18,2021-01-13,1239,270,0.03128116143647957,0.019743168258432586,0.5194444444444445
10,1,0,MLP,2019-12-18,2021-01-13,1239,270,0.2164785550646289,0.1347465262368034,0.5083333333333333
10,1,0,Random Forest,2019-12-18,2021-01-13,1239,270,0.03154865856462568,0.01975502796732983,0.49537037037037035
10,1,0,Diffusion,2019-12-18,2021-01-13,1239,270,1.191679958290119,0.9504091468085161,0.487962962962963
10,1,1,Random Walk,2020-09-15,2021-10-08,1425,270,0.016779092800426207,0.012580282142439496,0.007407407407407408
10,1,1,Historical Mean,2020-09-15,2021-10-08,1425,270,0.017706851826243708,0.01333549119024782,0.5027777777777778
10,1,1,AR Linear,2020-09-15,2021-10-08,1425,270,0.01675637490900896,0.012490689965664223,0.5564814814814815
10,1,1,Ridge,2020-09-15,2021-10-08,1425,270,0.017179506030873926,0.012900312358923489,0.49074074074074076
10,1,1,MLP,2020-09-15,2021-10-08,1425,270,0.0934427168233364,0.06923673290794849,0.5055555555555555
10,1,1,Random Forest,2020-09-15,2021-10-08,1425,270,0.01684070394489875,0.012575359549238349,0.5324074074074074
10,1,1,Diffusion,2020-09-15,2021-10-08,1425,270,0.3278250974001318,0.26033185377589185,0.5101851851851852
10,1,2,Random Walk,2021-06-11,2022-07-07,1611,270,0.017539742109643843,0.012977942703019704,0.007407407407407408
10,1,2,Historical Mean,2021-06-11,2022-07-07,1611,270,0.01831652367529477,0.013710007606437986,0.5055555555555555
10,1,2,AR Linear,2021-06-11,2022-07-07,1611,270,0.017625565693832935,0.013070653728598865,0.512962962962963
10,1,2,Ridge,2021-06-11,2022-07-07,1611,270,0.017850703485800264,0.01329908215802544,0.487962962962963
10,1,2,MLP,2021-06-11,2022-07-07,1611,270,0.06191124351245806,0.04758098405717523,0.4638888888888889
10,1,2,Random Forest,2021-06-11,2022-07-07,1611,270,0.017692574310831214,0.013057591351087463,0.4962962962962963
10,1,2,Diffusion,2021-06-11,2022-07-07,1611,270,0.4111389455145514,0.3234017261949988,0.4925925925925926
10,1,3,Random Walk,2022-03-08,2023-04-03,1797,270,0.01930170564577099,0.014774379558011832,0.003703703703703704
10,1,3,Historical Mean,2022-03-08,2023-04-03,1797,270,0.020155416955988874,0.015660477815369778,0.5055555555555555
10,1,3,AR Linear,2022-03-08,2023-04-03,1797,270,0.0195594025029966,0.015058995430349931,0.4861111111111111
10,1,3,Ridge,2022-03-08,2023-04-03,1797,270,0.0196799734391149,0.015175906539161226,0.4675925925925926
10,1,3,MLP,2022-03-08,2023-04-03,1797,270,0.057714439538897704,0.044205013086045256,0.4703703703703704
10,1,3,Random Forest,2022-03-08,2023-04-03,1797,270,0.019269303130606152,0.014708058188699913,0.5157407407407407
10,1,3,Diffusion,2022-03-08,2023-04-03,1797,270,0.25579815569344655,0.20133408863341637,0.4935185185185185
10,1,4,Random Walk,2022-12-02,2023-12-29,1984,270,0.015282511151613198,0.011756240004306102,0.007407407407407408
10,1,4,Historical Mean,2022-12-02,2023-12-29,1984,270,0.016105464367715844,0.012482737282608635,0.4935185185185185
10,1,4,AR Linear,2022-12-02,2023-12-29,1984,270,0.015441440876974147,0.011845873362125139,0.49537037037037035
10,1,4,Ridge,2022-12-02,2023-12-29,1984,270,0.015330577299656492,0.011818887035401801,0.5314814814814814
10,1,4,MLP,2022-12-02,2023-12-29,1984,270,0.04344996814356936,0.032145352459247295,0.49907407407407406
10,1,4,Random Forest,2022-12-02,2023-12-29,1984,270,0.015215000440711722,0.011694520382604413,0.525
10,1,4,Diffusion,2022-12-02,2023-12-29,1984,270,0.22997322417934526,0.18048203226485837,0.5185185185185185
10,5,0,Random Walk,2019-12-20,2021-01-15,1237,270,0.07109072933513047,0.046109723922222304,0.0
10,5,0,Historical Mean,2019-12-20,2021-01-15,1237,270,0.07040771564522351,0.046074530426840676,0.5185185185185185
10,5,0,AR Linear,2019-12-20,2021-01-15,1237,270,0.07119245621076538,0.04611735768512723,0.525
10,5,0,Ridge,2019-12-20,2021-01-15,1237,270,0.07083532957754211,0.04611252251923204,0.5268518518518519
10,5,0,MLP,2019-12-20,2021-01-15,1237,270,0.2073040450781316,0.13444584034080803,0.5175925925925926
10,5,0,Random Forest,2019-12-20,2021-01-15,1237,270,0.07127100995326453,0.04541154866891742,0.5805555555555556
10,5,0,Diffusion,2019-12-20,2021-01-15,1237,270,1.1772142144131457,0.9401953725811703,0.5027777777777778
10,5,1,Random Walk,2020-09-15,2021-10-08,1421,270,0.03779139752021486,0.029205703048482193,0.0
10,5,1,Historical Mean,2020-09-15,2021-10-08,1421,270,0.03822077807223775,0.0294886245193759,0.4861111111111111
